referenceCode,questionnaireReferenceCode,attribute,text,description,questionType,renderMode,processMode,index,isRequired,isActive,hasLink,tags,previousQuestionReferenceCode,nextQuestionReferenceCode,childQuestionnaireReferenceCode,aiConfig,validationRules,metadata
INSURANCE_SERVICE_PREAUTHORIZATION__patient_number,INSURANCE_SERVICE_PREAUTHORIZATION,patient_number,Patient number,,text,input,none,1,true,true,false,[],,INSURANCE_SERVICE_PREAUTHORIZATION__insurance_provider_name,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__insurance_provider_name,INSURANCE_SERVICE_PREAUTHORIZATION,insurance_provider_name,Insurance provider name,,text,input,none,2,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__patient_number,INSURANCE_SERVICE_PREAUTHORIZATION__insurance_member_id,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__insurance_member_id,INSURANCE_SERVICE_PREAUTHORIZATION,insurance_member_id,Insurance member ID,,text,input,none,3,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__insurance_provider_name,INSURANCE_SERVICE_PREAUTHORIZATION__requested_hospital_department,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__requested_hospital_department,INSURANCE_SERVICE_PREAUTHORIZATION,requested_hospital_department,Requested hospital department,,single_choice,dropdown,option_processed,4,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__insurance_member_id,INSURANCE_SERVICE_PREAUTHORIZATION__diagnosis_or_disease_being_treated,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__diagnosis_or_disease_being_treated,INSURANCE_SERVICE_PREAUTHORIZATION,diagnosis_or_disease_being_treated,Diagnosis or disease being treated,,single_choice,dropdown,option_processed,5,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__requested_hospital_department,INSURANCE_SERVICE_PREAUTHORIZATION__service_type_requested,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__service_type_requested,INSURANCE_SERVICE_PREAUTHORIZATION,service_type_requested,Service type requested,,single_choice,dropdown,option_processed,6,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__diagnosis_or_disease_being_treated,INSURANCE_SERVICE_PREAUTHORIZATION__expected_date_of_service,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__expected_date_of_service,INSURANCE_SERVICE_PREAUTHORIZATION,expected_date_of_service,Expected date of service,,date,input,none,7,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__service_type_requested,INSURANCE_SERVICE_PREAUTHORIZATION__treating_physician_name,,,[],
INSURANCE_SERVICE_PREAUTHORIZATION__treating_physician_name,INSURANCE_SERVICE_PREAUTHORIZATION,treating_physician_name,Treating physician name,,text,input,none,8,true,true,false,[],INSURANCE_SERVICE_PREAUTHORIZATION__expected_date_of_service,,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_name,WEEKLY_DISEASE_SURVEILLANCE_REPORT,field_officer_name,Field officer name,,text,input,none,1,true,true,false,[],,WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_phone,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_phone,WEEKLY_DISEASE_SURVEILLANCE_REPORT,field_officer_phone,Field officer phone,,text,input,none,2,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_name,WEEKLY_DISEASE_SURVEILLANCE_REPORT__state_in_nigeria,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__state_in_nigeria,WEEKLY_DISEASE_SURVEILLANCE_REPORT,state_in_nigeria,State in Nigeria,,single_choice,dropdown,option_processed,3,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_phone,WEEKLY_DISEASE_SURVEILLANCE_REPORT__local_government_area,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__local_government_area,WEEKLY_DISEASE_SURVEILLANCE_REPORT,local_government_area,Local government area,,text,input,none,4,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__state_in_nigeria,WEEKLY_DISEASE_SURVEILLANCE_REPORT__disease_name,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__disease_name,WEEKLY_DISEASE_SURVEILLANCE_REPORT,disease_name,Disease name,,single_choice,dropdown,option_processed,5,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__local_government_area,WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_suspected_cases,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_suspected_cases,WEEKLY_DISEASE_SURVEILLANCE_REPORT,number_of_suspected_cases,Number of suspected cases,,number,input,none,6,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__disease_name,WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_confirmed_cases,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_confirmed_cases,WEEKLY_DISEASE_SURVEILLANCE_REPORT,number_of_confirmed_cases,Number of confirmed cases,,number,input,none,7,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_suspected_cases,WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_deaths,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_deaths,WEEKLY_DISEASE_SURVEILLANCE_REPORT,number_of_deaths,Number of deaths,,number,input,none,8,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_confirmed_cases,WEEKLY_DISEASE_SURVEILLANCE_REPORT__date_of_report,,,[],
WEEKLY_DISEASE_SURVEILLANCE_REPORT__date_of_report,WEEKLY_DISEASE_SURVEILLANCE_REPORT,date_of_report,Date of report,,date,input,none,9,true,true,false,[],WEEKLY_DISEASE_SURVEILLANCE_REPORT__number_of_deaths,,,,[],
PATIENT_REGISTRATION__first_name,PATIENT_REGISTRATION,first_name,First name,,text,input,none,1,true,true,false,[],,PATIENT_REGISTRATION__last_name,,,[],
PATIENT_REGISTRATION__last_name,PATIENT_REGISTRATION,last_name,Last name,,text,input,none,2,true,true,false,[],PATIENT_REGISTRATION__first_name,PATIENT_REGISTRATION__gender,,,[],
PATIENT_REGISTRATION__gender,PATIENT_REGISTRATION,gender,Gender,,single_choice,radio,option_processed,3,true,true,false,[],PATIENT_REGISTRATION__last_name,PATIENT_REGISTRATION__date_of_birth,,,[],
